2022.03.16 11:52:49 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@33142b60 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/authentication/login.*, ...]}]
2022.03.16 11:52:49 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceReroutingFilter@2761340a [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2022.03.16 11:52:49 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.plugins.PluginsRiskConsentFilter@7a9c9923 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.03.16 11:52:49 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.DefaultAdminCredentialsVerifierFilter@733dddb4 [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.03.16 11:52:49 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@4e5b0ac6 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2022.03.16 11:52:49 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@39849074 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2022.03.16 11:52:49 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ResetPasswordFilter@451d6f0f [pattern=UrlPattern{inclusions=[/*], exclusions=[*.css, ...]}]
2022.03.16 11:52:49 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@5474209a [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2022.03.16 11:52:49 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@6d323476 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2022.03.16 11:52:49 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@75e93ffb [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2022.03.16 11:52:49 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2022.03.16 11:52:49 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2022.03.16 11:52:49 INFO  web[][o.s.s.p.Platform] WebServer is operational
